usageDate,transactionDate,usageCategory,reasonType,productName,reasonComment,chargedItemID,tokensConsumed,quantity
11/30/2023 0:00,12/1/2023 20:49,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1701463749898,500,500
8/30/2023 0:00,8/30/2023 20:23,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1693426986051,2435,1
2/29/2024 0:00,2/29/2024 16:58,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1709225912107,2435,1
2/29/2024 0:00,2/29/2024 21:15,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1709241307130,361,19
2/29/2024 0:00,2/29/2024 21:16,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1709241353800,500,500
2/29/2024 0:00,2/29/2024 21:15,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1709241328160,1000,1000
10/30/2023 0:00,10/30/2023 19:37,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1698694658676,2435,1
10/30/2023 0:00,10/31/2023 12:49,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1698756551200,1000,1000
10/30/2023 0:00,10/31/2023 12:49,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1698756533523,380,20
10/30/2023 0:00,10/31/2023 12:49,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1698756567848,500,500
3/31/2024 0:00,4/1/2024 16:34,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1711989269365,361,19
3/31/2024 0:00,4/1/2024 16:34,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1711989286800,1000,1000
3/31/2024 0:00,4/1/2024 16:35,MANUAL_CONSUMPTION,Off network,The Wild,The Wild - 100 Tokens per Subscription per Month,110004354574-1711989305352,500,500
3/31/2024 0:00,4/1/2024 16:35,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1711989324723,2435,1
3/31/2024 0:00,4/29/2024 17:07,MANUAL_ADJUSTMENT,One-time adjustment,Correction,ACC Double Charging Incident - March 2024,110004354574-1714410418949,-150,1
4/30/2024 0:00,5/1/2024 18:37,MANUAL_ADJUSTMENT,Off network,BIM 360 Docs Enterprise Unlimited,"BIM Docs Enterprise Unlimited - 2,435 Tokens per month",110004354574-1714588614489,2435,1
4/30/2024 0:00,5/1/2024 16:55,MANUAL_CONSUMPTION,Off network,Prospect by IrisVR,Prospect by IrisVR - 200 Tokens per Subscription per Month,110004354574-1714582526831,1000,1000
4/30/2024 0:00,5/1/2024 16:55,MANUAL_CONSUMPTION,Off network,BIM 360 Team,BIM 360 Team - 19 Tokens Per User,110004354574-1714582505214,361,19
